epoch,aleatoric_uncertainty_loss,attention_features_loss,epistemic_uncertainty_loss,learning_rate,loss,main_predictions_accuracy,main_predictions_auc,main_predictions_loss,val_aleatoric_uncertainty_loss,val_attention_features_loss,val_epistemic_uncertainty_loss,val_loss,val_main_predictions_accuracy,val_main_predictions_auc,val_main_predictions_loss
0,0.09024142473936081,0.0014557254035025835,0.12060102820396423,9.999999747378752e-05,0.16784586012363434,0.5963109731674194,0.7877504229545593,0.14677873253822327,0.0619470588862896,0.000356328790076077,0.08991903811693192,0.3681611716747284,0.4166666567325592,0.6564725637435913,0.35248562693595886
1,0.02670641615986824,0.00010356827988289297,0.026168620213866234,9.999999747378752e-05,0.08458558470010757,0.8018192648887634,0.9345957040786743,0.07957936078310013,0.02238338626921177,0.00020163199224043638,0.017824849113821983,0.30832740664482117,0.5258620977401733,0.7219445705413818,0.3049933910369873
2,0.011192487552762032,2.5062228814931586e-05,0.010183991864323616,9.999999747378752e-05,0.06576696038246155,0.8396361470222473,0.9572846293449402,0.06393937766551971,0.008113651536405087,2.7374470690233466e-08,0.00620286213234067,0.18644438683986664,0.5330459475517273,0.8145613670349121,0.18425272405147552
3,0.005729667376726866,7.098121841409011e-06,0.004998126998543739,9.999999747378752e-05,0.053783416748046875,0.8685252070426941,0.9707705974578857,0.05303148180246353,0.006050953175872564,0.0,0.009526369161903858,0.13031046092510223,0.6271551847457886,0.8409930467605591,0.12749168276786804
4,0.0034786337055265903,1.2703412721748464e-05,0.002938948106020689,9.999999747378752e-05,0.04933786392211914,0.8811589479446411,0.9748578667640686,0.04905771464109421,0.006803687196224928,1.454794897881584e-07,0.005294430535286665,0.7484062314033508,0.30747127532958984,0.577975332736969,0.738774299621582
5,0.0023399610072374344,4.800901933776913e-07,0.0019899916369467974,9.999999747378752e-05,0.04613616690039635,0.8862966299057007,0.9773650169372559,0.046046942472457886,0.0012582669733092189,0.0,0.002063029445707798,0.6048886775970459,0.5732758641242981,0.7585792541503906,0.597683846950531
6,0.0016649211756885052,1.1865990927617531e-05,0.001417605672031641,9.999999747378752e-05,0.03889792039990425,0.9041522741317749,0.9838634729385376,0.03894856944680214,0.0012538958108052611,2.8590427803010243e-09,0.0014087376184761524,0.0660841315984726,0.8563218116760254,0.9588025808334351,0.0650922879576683
7,0.0012879108544439077,8.200262691104854e-10,0.0010454334551468492,9.999999747378752e-05,0.03731820359826088,0.9048261046409607,0.9844859838485718,0.0374387763440609,0.0005420561064966023,0.0,0.0005101785063743591,0.3873439133167267,0.6400862336158752,0.8009482026100159,0.38657137751579285
8,0.000949476845562458,1.621674905472048e-09,0.0008049819734878838,9.999999747378752e-05,0.03415810689330101,0.9146803617477417,0.9872843027114868,0.03437526896595955,0.00041331254760734737,0.0,0.0002560187713243067,0.07062240689992905,0.8390804529190063,0.9588680267333984,0.0714220479130745
9,0.0007712764199823141,0.0,0.0006429659551940858,9.999999747378752e-05,0.033985335379838943,0.9151856899261475,0.9870293140411377,0.03417993709445,0.00039294082671403885,0.0,0.0002711248816922307,0.08585947006940842,0.7392241358757019,0.9272478222846985,0.0878651812672615
10,0.0006163676152937114,0.0,0.0005564957391470671,4.999999873689376e-05,0.028939681127667427,0.9275667667388916,0.9906298518180847,0.0291706882417202,0.0002879337116610259,0.0,0.00020505805150605738,0.051589883863925934,0.8548850417137146,0.9666404724121094,0.050966110080480576
11,0.0005566697218455374,0.0,0.00041911264997906983,4.999999873689376e-05,0.027648277580738068,0.9319464564323425,0.9913505911827087,0.027920396998524666,0.00026495620841160417,0.0,0.0002235958381788805,0.04053996130824089,0.9037356376647949,0.982975423336029,0.040076691657304764
12,0.0005082047428004444,0.0,0.00045842499821446836,4.999999873689376e-05,0.025954244658350945,0.9364103674888611,0.9921796321868896,0.026239661499857903,0.0002107855980284512,0.0,0.00013517575280275196,0.0843396857380867,0.8613505959510803,0.9507933855056763,0.08337181806564331
13,0.0004468509287107736,0.0,0.00034064744249917567,4.999999873689376e-05,0.02604721672832966,0.9354838728904724,0.9923926591873169,0.02631300687789917,0.00018545128114055842,0.0,0.00013259115803521127,0.019626131281256676,0.9454023241996765,0.9957655072212219,0.01948382519185543
14,0.0004043106746394187,0.0,0.00032150716288015246,4.999999873689376e-05,0.025164194405078888,0.9382632970809937,0.9927979111671448,0.025433354079723358,0.00015083258040249348,0.0,7.607939915033057e-05,0.024113189429044724,0.9375,0.9936916828155518,0.023879658430814743
15,0.00037685694405809045,0.0,0.0003064794873353094,9.999999747378752e-06,0.021259387955069542,0.9503074288368225,0.9951452016830444,0.021647842600941658,0.00012209403212182224,0.0,7.317798736039549e-05,0.018524598330259323,0.9590517282485962,0.9958609938621521,0.018322987481951714
16,0.0003265160776209086,0.0,0.0002444496494717896,9.999999747378752e-06,0.0207133237272501,0.9501389861106873,0.995187520980835,0.021025553345680237,0.00010081531945616007,0.0,5.4398169595515355e-05,0.021575311198830605,0.9511494040489197,0.9948649406433105,0.021363267675042152
17,0.0003023427852895111,0.0,0.00024353408662136644,9.999999747378752e-06,0.02033361792564392,0.9503074288368225,0.995346188545227,0.020642753690481186,8.55873804539442e-05,0.0,4.773285400005989e-05,0.027243033051490784,0.9382184147834778,0.9916012287139893,0.027011357247829437
18,0.00027298578061163425,0.0,0.00022153895406518131,9.999999747378752e-06,0.018813595175743103,0.9546871185302734,0.996090292930603,0.019133972004055977,7.164515409385785e-05,0.0,3.72983340639621e-05,0.021313048899173737,0.9481534361839294,0.9945278167724609,0.021307602524757385
19,0.00026525097200646996,0.0,0.00021201788331381977,4.999999873689376e-06,0.019281119108200073,0.9535921812057495,0.9958833456039429,0.0196852944791317,6.681442027911544e-05,0.0,3.46438137057703e-05,0.015607455745339394,0.9626436829566956,0.9969921112060547,0.015432641841471195
20,0.0002541967260185629,0.0,0.00018199857731815428,4.999999873689376e-06,0.018187854439020157,0.9561189413070679,0.9963338375091553,0.018607737496495247,6.429722998291254e-05,0.0,2.9960310712340288e-05,0.014102151617407799,0.9655172228813171,0.997499406337738,0.013941410928964615
21,0.0002474072389304638,0.0,0.00021407310850918293,4.999999873689376e-06,0.018812723457813263,0.9564558267593384,0.9959557056427002,0.019134141504764557,5.63275498279836e-05,0.0,2.7510202926350757e-05,0.039058867841959,0.9159482717514038,0.9870285987854004,0.03865009918808937
22,0.0002407685824437067,0.0,0.00023078019148670137,2.499999936844688e-06,0.01742660067975521,0.9604986310005188,0.996597170829773,0.017822502180933952,5.619803778245114e-05,0.0,2.7047439289162867e-05,0.015096287243068218,0.9612069129943848,0.9973045587539673,0.014924472197890282
23,0.00023559379042126238,0.0,0.0002054379874607548,2.499999936844688e-06,0.017968647181987762,0.957213819026947,0.9963469505310059,0.01836821623146534,5.104057345306501e-05,0.0,2.461504664097447e-05,0.017926080152392387,0.9590517282485962,0.9960365891456604,0.017723696306347847
24,0.0002330124843865633,0.0,0.00019892129057552665,2.499999936844688e-06,0.017323538661003113,0.9596563577651978,0.9967355728149414,0.017679382115602493,4.873699799645692e-05,0.0,2.311656135134399e-05,0.02399059571325779,0.9454023241996765,0.9936550855636597,0.02372509054839611
